user_id,recomendations
89,"[1082185, 995242, 860776, 1027569, 1055863]"
90,"[1082185, 6534178, 1029743, 995242, 1070820]"
91,"[1082185, 6534178, 1029743, 1058997, 845208]"
92,"[1082185, 923746, 1058997, 962568, 845208]"
93,"[1082185, 862349, 1058997, 6034857, 5978656]"
94,"[1082185, 6534178, 979707, 1037863, 1005186]"
95,"[1082185, 1029743, 995242, 849843, 981760]"
96,"[1029743, 8090537, 1106523, 5569230, 1028816]"
97,"[1082185, 6534178, 995242, 1096036, 860776]"
98,"[862349, 994928, 849843, 1134522, 1070015]"
99,"[1082185, 995242, 1029743, 883404, 849843]"
100,"[6534178, 1003188, 849843, 981760, 908531]"
101,"[6534178, 8090521, 1106523, 1133018, 951590]"
102,"[1028816, 1053690, 834484, 908846, 854852]"
103,"[883404, 1106523, 1092026, 5569471, 826249]"
104,"[1082185, 995242, 1029743, 840361, 5569230]"
105,"[1082185, 995242, 1133018, 1106523, 961554]"
106,"[6534178, 849843, 8090521, 995785, 5569230]"
107,"[6534178, 8090521, 1133018, 1106523, 951590]"
108,"[1082185, 1029743, 6534178, 862349, 849843]"
109,"[1082185, 840361, 1058997, 961554, 849843]"
110,"[6534178, 1133018, 951590, 849843, 995785]"
111,"[1133018, 1106523, 833025, 5978656, 1095275]"
112,"[6534178, 862349, 1070820, 5569471, 1028816]"
113,"[1082185, 6534178, 840361, 976199, 862349]"
114,"[6534178, 1029743, 995242, 883404, 1070820]"
115,"[6534178, 883404, 862349, 908531, 5978656]"
116,"[923746, 1133018, 849843, 5569230, 5569471]"
117,"[1082185, 995242, 862349, 951590, 1058997]"
118,"[1082185, 6534178, 995242, 995785, 1096036]"
119,"[1082185, 1029743, 995242, 981760, 908531]"
120,"[1082185, 6534178, 1029743, 995242, 1133018]"
121,"[995242, 1029743, 849843, 923746, 5568378]"
122,"[940947, 5569230, 1065593, 1053690, 1005186]"
123,"[1029743, 849843, 981760, 1056509, 1058997]"
124,"[883404, 1133018, 1106523, 951590, 833025]"
125,"[995242, 1029743, 6534178, 8090537, 849843]"
126,"[1029743, 995242, 951590, 1092026, 1096036]"
127,"[6534178, 995242, 1106523, 908531, 1075368]"
128,"[1082185, 1029743, 1003188, 840361, 1037863]"
129,"[1082185, 1029743, 995242, 1058997, 1022254]"
130,"[6534178, 1106523, 849843, 951590, 860776]"
131,"[1082185, 995242, 1029743, 8090537, 923746]"
132,"[1082185, 1022254, 860776, 1058997, 1096036]"
133,"[1082185, 995242, 1133018, 5569230, 961554]"
134,"[995242, 8090537, 1106523, 913210, 951590]"
135,"[862349, 840361, 826249, 861272, 1119051]"
136,"[8090537, 883404, 8090521, 1133018, 5569230]"
137,"[1082185, 1058997, 849843, 908531, 1126899]"
138,"[1082185, 862349, 1070820, 995785, 1101010]"
139,"[1082185, 6534178, 1058997, 6034857, 849843]"
140,"[8090537, 1106523, 1133018, 8090521, 951590]"
141,"[6534166, 824005, 6533765, 995785, 1041259]"
142,"[1082185, 990797, 1058997, 953476, 5569327]"
143,"[995242, 6534178, 1106523, 1133018, 962229]"
144,"[883404, 1106523, 849843, 845208, 5585510]"
145,"[1082185, 1029743, 1058997, 5569471, 1126899]"
146,"[1029743, 995242, 6534178, 896369, 1126899]"
147,"[1003188, 1133018, 1106523, 833025, 908531]"
148,"[995242, 8090537, 951590, 5569230, 5568378]"
149,"[1082185, 6534178, 981760, 862349, 962568]"
150,"[1082185, 1029743, 995242, 908531, 844179]"
151,"[995242, 5569230, 6533889, 1126899, 5978656]"
152,"[1082185, 962568, 5568378, 981760, 914190]"
153,"[938700, 1058997, 981760, 5978656, 976998]"
154,"[923746, 1133018, 5568378, 995785, 965766]"
155,"[1029743, 883404, 951590, 1075368, 826249]"
156,"[1082185, 6534178, 951590, 908531, 1075368]"
157,"[1082185, 1058997, 962229, 1070820, 840361]"
158,"[1082185, 995242, 862349, 1070820, 981760]"
159,"[883404, 857849, 923746, 849843, 1106523]"
160,"[951590, 962229, 962568, 1070820, 6034857]"
161,"[995242, 5568378, 953476, 1022003, 868764]"
162,"[1029743, 862349, 981760, 1070820, 6034857]"
163,"[923746, 1132770, 5978656, 860776, 1053690]"
164,"[995242, 1029743, 981760, 840361, 883404]"
165,"[1082185, 6534178, 862349, 849843, 1070820]"
166,"[1029743, 951590, 5569230, 1133018, 1106523]"
167,"[995242, 5569230, 995785, 908531, 985999]"
168,"[1082185, 1029743, 995785, 961554, 1119051]"
169,"[1082185, 6534178, 1029743, 995242, 1106523]"
170,"[1082185, 1058997, 1070820, 1126899, 826249]"
171,"[1029743, 995242, 979707, 883404, 913210]"
172,"[6534178, 849843, 5569230, 953476, 6533765]"
173,"[1082185, 6534178, 862349, 1070820, 1132771]"
174,"[883404, 1133018, 5569230, 1038217, 1096036]"
175,"[1106523, 1058997, 5569230, 845208, 840361]"
176,"[6534178, 883404, 1133018, 1106523, 1132770]"
177,"[1082185, 6534178, 1058997, 849843, 1126899]"
178,"[8090521, 1106523, 1092026, 5978656, 1048462]"
179,"[938700, 951590, 962229, 5569230, 1038217]"
180,"[1029743, 5569230, 908531, 1038217, 927191]"
181,"[1082185, 6534178, 995242, 862349, 951590]"
182,"[8090537, 883404, 1133018, 849843, 981760]"
183,"[883404, 1106523, 1028816, 860776, 1041259]"
184,"[6534178, 981760, 923746, 874972, 5978656]"
185,"[1029743, 8090537, 6534178, 923746, 995785]"
186,"[1082185, 6534178, 1029743, 995242, 883404]"
187,"[1082185, 1133018, 951590, 5569230, 908531]"
188,"[923746, 1133018, 849843, 1106523, 1033615]"
189,"[951590, 965766, 826249, 1005186, 986912]"
190,"[857849, 951590, 995785, 903325, 1053690]"
191,"[6534178, 995242, 862349, 5592931, 965766]"
192,"[995242, 1029743, 981760, 5569230, 1056509]"
193,"[6534178, 990797, 8090537, 995242, 1029743]"
194,"[1133018, 903325, 995785, 834484, 961554]"
195,"[1082185, 995242, 6534178, 1029743, 981760]"
196,"[883404, 1133018, 1106523, 962229, 5569230]"
197,"[1082185, 951590, 965766, 840361, 1126899]"
198,"[1029743, 995242, 1133018, 1106523, 883404]"
199,"[995242, 1058997, 1132771, 1005186, 1070015]"
200,"[883404, 5568378, 1126899, 832678, 1110572]"
201,"[1082185, 995242, 8090537, 1133018, 5568378]"
202,"[8090537, 1029743, 8090521, 849843, 962229]"
203,"[1029743, 6534178, 1058997, 849843, 1070820]"
204,"[923746, 1070820, 6034857, 1053690, 1005186]"
205,"[1082185, 845208, 1106523, 981760, 1026118]"
206,"[883404, 1106523, 1133018, 908531, 1101010]"
207,"[976199, 1058997, 995785, 1071939, 834484]"
208,"[1082185, 6534178, 951590, 862349, 981760]"
209,"[6534178, 1029743, 995242, 923746, 6533765]"
210,"[1082185, 1106523, 849843, 860776, 1137688]"
211,"[1082185, 1133018, 951590, 962229, 883932]"
212,"[1082185, 995242, 1029743, 951590, 1056509]"
213,"[951590, 5568378, 5569327, 1038217, 868764]"
214,"[1082185, 862349, 1058997, 860776, 1126899]"
215,"[1082185, 995785, 1022254, 994928, 961554]"
216,"[1022003, 820165, 1018740, 1005186, 1040807]"
217,"[1082185, 6534178, 995242, 951590, 995785]"
218,"[6534178, 995242, 962568, 1058997, 834484]"
219,"[1082185, 951590, 981760, 862349, 5569471]"
220,"[6534178, 995242, 6534166, 6034857, 1068719]"
221,"[995242, 840361, 981760, 883404, 1133018]"
222,"[1082185, 6534178, 1058997, 878996, 860776]"
223,"[1029743, 883404, 871756, 951590, 859075]"
224,"[1029743, 995242, 883404, 1133018, 1106523]"
225,"[1029743, 1133018, 951590, 1065593, 976998]"
226,"[1029743, 6534178, 995242, 1056509, 844179]"
227,"[1082185, 6534178, 1058997, 908531, 909714]"
228,"[1082185, 6534178, 1058997, 890610, 5569471]"
229,"[1029743, 995242, 833025, 5569230, 986912]"
230,"[6534178, 995242, 1029743, 8090537, 883404]"
231,"[1082185, 1029743, 6534178, 995242, 5569230]"
232,"[1082185, 6534178, 1029743, 995242, 923746]"
233,"[1082185, 1029743, 6534178, 995242, 1106523]"
234,"[8090537, 923746, 1133018, 1106523, 1132770]"
235,"[1082185, 6534178, 995785, 862349, 1070820]"
236,"[1022254, 5569471, 1126899, 981760, 1075368]"
237,"[1029743, 883404, 849843, 5569230, 965766]"
238,"[1082185, 1106523, 1096036, 1075368, 868764]"
239,"[1133018, 834484, 5978656, 860776, 999971]"
240,"[1082185, 6534178, 1029743, 995242, 883404]"
241,"[5569230, 995785, 1028816, 860776, 1037863]"
242,"[1029743, 995785, 883404, 903325, 1039156]"
243,"[6534178, 860776, 6034857, 1041259, 1126899]"
244,"[1082185, 1133018, 849843, 913210, 1070015]"
245,"[6534178, 1029743, 995242, 923746, 1133018]"
246,"[857849, 862349, 896369, 951590, 849843]"
247,"[1082185, 8090537, 1133018, 849843, 1023958]"
248,"[1082185, 6534178, 1029743, 840361, 1058997]"
249,"[995242, 1029743, 883404, 833025, 965766]"
250,"[995242, 1029743, 8090537, 951590, 1056509]"
251,"[995242, 883404, 874972, 951590, 1070820]"
252,"[1082185, 1029743, 995242, 6534178, 883404]"
253,"[951590, 923746, 1133018, 1106523, 1033615]"
254,"[1106523, 1022003, 845208, 1022254, 822407]"
255,"[1029743, 979707, 940947, 951590, 5569230]"
256,"[862349, 5568378, 5978656, 962229, 5569327]"
257,"[883404, 849843, 1106523, 962229, 994928]"
258,"[995242, 862349, 849843, 1070820, 860776]"
259,"[8090537, 940947, 953476, 976998, 878996]"
260,"[862349, 962229, 1070820, 6534166, 981760]"
261,"[6534178, 995242, 8090521, 951590, 5568378]"
262,"[1082185, 1058997, 849843, 981760, 1101010]"
263,"[1082185, 995242, 1029743, 951590, 994928]"
264,"[6534178, 849843, 1132771, 962568, 1018740]"
265,"[1058997, 923746, 908531, 834484, 961554]"
266,"[1082185, 981760, 1058997, 5569471, 826249]"
267,"[1082185, 6534178, 1029743, 995242, 1106523]"
268,"[995242, 8090521, 1058997, 923746, 5569230]"
269,"[1106523, 962229, 1133018, 845208, 981760]"
270,"[8090537, 1106523, 1058997, 8090521, 5569230]"
271,"[883404, 1058997, 1126899, 1018740, 976998]"
272,"[1082185, 6534178, 1029743, 995242, 883404]"
273,"[883404, 1106523, 8090521, 5569230, 840361]"
274,"[979707, 883404, 1106523, 995785, 883932]"
275,"[1082185, 6534178, 1133018, 1106523, 849843]"
276,"[6534178, 995242, 8090521, 951590, 1022003]"
277,"[1029743, 849843, 845208, 844179, 1053690]"
278,"[883404, 995785, 824005, 999971, 5978656]"
279,"[6534178, 1029743, 995242, 940947, 962568]"
280,"[6534178, 923746, 1133018, 1106523, 981760]"
281,"[1082185, 862349, 833025, 995785, 981760]"
282,"[6534178, 995242, 995785, 923746, 970030]"
283,"[1082185, 981760, 862349, 940947, 961554]"
284,"[1029743, 883404, 8090521, 1075368, 826249]"
285,"[1082185, 995242, 6534178, 849843, 923746]"
286,"[1082185, 5569230, 901062, 866211, 1119051]"
287,"[6534178, 883404, 1133018, 1106523, 995785]"
288,"[1082185, 6534178, 862349, 1070820, 845208]"
289,"[1082185, 6533889, 981760, 961554, 860776]"
290,"[995242, 1029743, 923746, 5568378, 962229]"
291,"[1133018, 1132770, 1106523, 5568378, 1005186]"
292,"[995242, 1106523, 1133018, 8090521, 951590]"
293,"[995242, 979707, 1133018, 995785, 824005]"
294,"[995785, 1133018, 1106523, 834484, 908531]"
295,"[1082185, 1029743, 994928, 826249, 878996]"
296,"[1082185, 6534178, 1029743, 995242, 1106523]"
297,"[1082185, 1029743, 995242, 883404, 908531]"
298,"[1106523, 962229, 5568378, 1065593, 866211]"
299,"[1082185, 1029743, 6534178, 995242, 883404]"
300,"[1029743, 871756, 923746, 1106523, 962229]"
301,"[1082185, 995242, 1029743, 874972, 940947]"
302,"[1070820, 5569327, 903325, 1124729, 961554]"
303,"[1082185, 995242, 6534178, 951590, 5569230]"
304,"[1082185, 6534178, 1029743, 995242, 923746]"
305,"[6534178, 995242, 840361, 976998, 1102959]"
306,"[6534178, 995242, 1029743, 923746, 883404]"
307,"[6534178, 845208, 981760, 1096036, 882441]"
308,"[6534178, 883404, 970030, 1058997, 5569230]"
309,"[1082185, 995242, 8090537, 8090521, 1027569]"
310,"[1082185, 6534178, 995242, 1058997, 833025]"
311,"[1082185, 1106523, 6034857, 1005186, 866211]"
312,"[1082185, 1095275, 961554, 1051516, 866211]"
313,"[1082185, 1029743, 6534178, 995242, 908531]"
314,"[1082185, 883404, 1013321, 951590, 981760]"
315,"[1106523, 824005, 1028816, 844179, 1026118]"
316,"[995242, 849843, 1058997, 995785, 1044078]"
317,"[1082185, 1029743, 8090521, 951590, 983584]"
318,"[1133018, 1106523, 962229, 833025, 981760]"
319,"[6534178, 1133018, 1106523, 6533889, 5569230]"
320,"[8090521, 903325, 883932, 860776, 1137688]"
321,"[1082185, 1058997, 840361, 1056509, 1126899]"
322,"[1082185, 862349, 923746, 1058997, 1070820]"
323,"[1082185, 6534178, 1029743, 995242, 883404]"
324,"[1082185, 6534178, 840361, 862349, 1070820]"
325,"[995242, 1029743, 5569230, 951590, 5569471]"
326,"[1082185, 995242, 8090537, 8090521, 908531]"
327,"[883404, 1133018, 1106523, 908531, 1096036]"
328,"[6534178, 862349, 1070820, 1028816, 878996]"
329,"[1082185, 995242, 820165, 901062, 1005186]"
330,"[6534178, 995242, 857849, 849843, 1005186]"
331,"[1029743, 1106523, 1070820, 1092026, 1075368]"
332,"[1082185, 995242, 1029743, 862349, 961554]"
333,"[883404, 857849, 1106523, 1133018, 1005186]"
334,"[1082185, 1133018, 849843, 908531, 860776]"
335,"[1082185, 1106523, 1133018, 845208, 995785]"
336,"[1082185, 6534178, 923746, 1106523, 5569230]"
337,"[1029743, 995242, 849843, 908531, 965766]"
338,"[1082185, 995242, 1133018, 860776, 1028816]"
339,"[1082185, 923746, 1133018, 1106523, 1056509]"
340,"[1082185, 1029743, 995242, 883404, 1133018]"
341,"[1082185, 6534178, 907014, 5978656, 985999]"
342,"[1029743, 899624, 883404, 5978656, 1005186]"
343,"[995242, 923746, 1092026, 866211, 908846]"
344,"[6534178, 995242, 883404, 981760, 5978656]"
345,"[1082185, 995242, 1029743, 1003188, 883404]"
346,"[1082185, 995242, 1029743, 981760, 1037863]"
347,"[1133018, 951590, 5569471, 1126899, 999971]"
348,"[6534178, 883404, 1056509, 981760, 1096036]"
349,"[1082185, 1106523, 1133018, 981760, 840361]"
350,"[6534178, 1106523, 962568, 860776, 961554]"
351,"[1082185, 951590, 840361, 1133018, 1106523]"
352,"[970030, 1058997, 835098, 961554, 1095275]"
353,"[979707, 1022254, 909714, 901062, 908846]"
354,"[951590, 1133018, 1106523, 962229, 826249]"
355,"[1106523, 962229, 5568378, 927191, 890610]"
356,"[6534178, 1029743, 995242, 883404, 882441]"
357,"[1082185, 1003188, 849843, 1058997, 840361]"
358,"[981760, 5569230, 1106523, 834484, 1053690]"
359,"[857849, 923746, 962229, 5568378, 995785]"
360,"[1082185, 995242, 1132770, 5568378, 5569327]"
361,"[1082185, 5569230, 1133018, 1106523, 1056509]"
362,"[923746, 981760, 849843, 6534166, 1022254]"
363,"[1082185, 6534178, 1029743, 871756, 923746]"
364,"[8090537, 1106523, 1092026, 1096036, 965766]"
365,"[1082185, 6534178, 981760, 1022003, 1132771]"
366,"[883404, 1133018, 1106523, 1092026, 882441]"
367,"[1082185, 862349, 961554, 1070820, 5978656]"
368,"[6534178, 951590, 908531, 1056509, 826249]"
369,"[871756, 1132770, 6533765, 981760, 1126899]"
370,"[6534178, 995242, 951590, 840361, 860776]"
371,"[1082185, 995242, 1029743, 840361, 961554]"
372,"[1082185, 1029743, 962229, 840361, 5978656]"
373,"[1082185, 6534178, 1029743, 995242, 1133018]"
374,"[1082185, 1029743, 923746, 849843, 6533765]"
375,"[1029743, 6534178, 8090537, 1106523, 849843]"
376,"[1133018, 849843, 953476, 981760, 965766]"
377,"[1082185, 1029743, 995785, 840361, 961554]"
378,"[1082185, 6534178, 860776, 1005186, 933835]"
379,"[1082185, 6534178, 1029743, 995242, 883404]"
380,"[1106523, 923746, 1133018, 951590, 5569230]"
381,"[995242, 1029743, 883404, 1075368, 933835]"
382,"[1029743, 995242, 6534178, 908531, 824005]"
383,"[1082185, 6534178, 1058997, 995785, 1126899]"
384,"[1082185, 6534178, 1058997, 849843, 995785]"
385,"[883404, 1058997, 909714, 1126899, 995785]"
386,"[6534178, 995242, 1029743, 883404, 1133018]"
387,"[923746, 1058997, 933835, 1126899, 1102959]"
388,"[1029743, 995242, 849843, 5569327, 908531]"
389,"[1082185, 6533889, 961554, 1058997, 1126899]"
390,"[995242, 951590, 5569230, 981760, 5569471]"
391,"[1029743, 962229, 908531, 840361, 826249]"
392,"[1082185, 981760, 1133018, 903325, 940947]"
393,"[1029743, 995242, 883404, 849843, 999971]"
394,"[1082185, 1029743, 1133018, 1026118, 834484]"
395,"[995242, 1029743, 923746, 962229, 5569230]"
396,"[6534178, 1058997, 1126899, 903325, 1075368]"
397,"[6534178, 883404, 1058997, 840361, 995785]"
398,"[6534178, 995242, 1029743, 8090521, 1092026]"
399,"[1133018, 951590, 5569230, 883932, 1075368]"
400,"[1082185, 1029743, 995785, 883404, 6533889]"
401,"[923746, 849843, 951590, 965766, 1033615]"
402,"[6534178, 1106523, 824005, 914190, 844179]"
403,"[1082185, 995242, 840361, 835098, 880150]"
404,"[6534178, 6034857, 860776, 1041259, 1051516]"
405,"[6534178, 995242, 962229, 1101010, 860776]"
406,"[1082185, 1029743, 1058997, 1126899, 1070015]"
407,"[8090521, 927191, 1053690, 994928, 826249]"
408,"[1082185, 1029743, 923746, 849843, 1132771]"
409,"[1082185, 6534178, 979707, 862349, 1070820]"
410,"[995242, 883404, 962229, 908531, 976998]"
411,"[6534178, 923746, 1106523, 951590, 995785]"
412,"[1082185, 995242, 1133018, 849843, 995785]"
413,"[1082185, 6534178, 923746, 5569230, 1106523]"
414,"[1029743, 6534178, 940947, 1106523, 8090521]"
415,"[1082185, 1029743, 6534178, 995242, 883404]"
416,"[857849, 923746, 890610, 1126899, 826249]"
417,"[1082185, 995242, 1029743, 981760, 883404]"
418,"[1082185, 6534178, 1029743, 1003188, 951590]"
419,"[1029743, 6534178, 995242, 962229, 5569230]"
420,"[1029743, 995242, 1133018, 1106523, 951590]"
421,"[6534178, 849843, 923746, 1058997, 981760]"
422,"[1029743, 995242, 1133018, 1106523, 849843]"
423,"[1082185, 1058997, 962568, 5569230, 5569471]"
424,"[1082185, 1003188, 883404, 962568, 5569471]"
425,"[883404, 923746, 862349, 849843, 1106523]"
426,"[1082185, 6534178, 862349, 1070820, 961554]"
427,"[1082185, 1029743, 981760, 5569471, 834484]"
428,"[1029743, 995242, 849843, 1132770, 882441]"
429,"[1029743, 995242, 833025, 995785, 1056509]"
430,"[1029743, 995242, 1106523, 908531, 953476]"
431,"[995242, 862349, 1058997, 962229, 1070820]"
432,"[995242, 1029743, 883404, 1075368, 882441]"
433,"[1082185, 923746, 1106523, 951590, 995785]"
434,"[1022003, 1132770, 951590, 953476, 5568378]"
435,"[8090537, 8090521, 5569230, 5569471, 1053690]"
436,"[1029743, 1106523, 951590, 962229, 962568]"
437,"[1082185, 6534178, 995242, 951590, 962229]"
438,"[951590, 840361, 1133018, 862349, 1070820]"
439,"[995785, 1075368, 826249, 908846, 986912]"
440,"[1082185, 6534178, 1029743, 995242, 883404]"
441,"[1082185, 961554, 860776, 976998, 933835]"
442,"[1082185, 6534178, 1058997, 1126899, 1005186]"
443,"[899624, 862349, 962568, 5569230, 981760]"
444,"[883404, 923746, 1106523, 5592931, 999971]"
445,"[1058997, 1022003, 8090521, 1070820, 908531]"
446,"[1082185, 6534178, 1029743, 995242, 883404]"
447,"[1029743, 995242, 883404, 849843, 908531]"
448,"[1082185, 1058997, 1132771, 1126899, 868764]"
449,"[1029743, 6534178, 995242, 849843, 951590]"
450,"[995242, 883404, 860776, 1038217, 1096036]"
451,"[1082185, 6534178, 1070820, 962229, 840361]"
452,"[883404, 8090521, 995785, 908531, 1096036]"
453,"[1082185, 857849, 908531, 824005, 909714]"
454,"[995242, 1029743, 981760, 5569230, 908531]"
455,"[1029743, 862349, 951590, 1070820, 5569230]"
456,"[862349, 5569230, 883404, 1070820, 999971]"
457,"[1029743, 995242, 883404, 1132770, 5592931]"
458,"[849843, 862349, 1058997, 981760, 961554]"
459,"[979707, 995785, 901062, 986912, 1039156]"
460,"[1082185, 6534178, 1058997, 1106523, 840361]"
461,"[6534178, 995242, 1029743, 883404, 976199]"
462,"[1082185, 995242, 862349, 840361, 908531]"
463,"[1082185, 1133018, 1106523, 6534166, 5569230]"
464,"[1082185, 995242, 1029743, 923746, 5978656]"
465,"[1029743, 1133018, 5568378, 882441, 1071939]"
466,"[883404, 1133018, 1096036, 1068719, 1080414]"
467,"[1082185, 1106523, 849843, 1037863, 834484]"
468,"[883404, 923746, 1106523, 849843, 5978656]"
469,"[1082185, 5569230, 862349, 1070820, 860776]"
470,"[995242, 6534178, 883404, 1022003, 962229]"
471,"[8090537, 1133018, 1106523, 849843, 908531]"
472,"[1082185, 1029743, 951590, 981760, 914190]"
473,"[6534178, 1029743, 995242, 1056509, 1071939]"
474,"[995242, 1029743, 883404, 981760, 1065593]"
475,"[1082185, 1029743, 995242, 951590, 962229]"
476,"[883404, 8090521, 1106523, 1070820, 833025]"
477,"[1082185, 1029743, 6534178, 1133018, 1058997]"
478,"[1082185, 6534178, 1029743, 995242, 883404]"
479,"[1106523, 1133018, 962229, 965766, 1065593]"
480,"[6534178, 862349, 1070820, 995785, 908531]"
481,"[1022003, 862349, 951590, 962229, 845208]"
482,"[1133018, 951590, 845208, 826249, 999971]"
483,"[923746, 1133018, 1106523, 5592931, 5569471]"
484,"[1013321, 862349, 923746, 1070820, 1038217]"
485,"[6534178, 1029743, 995242, 923746, 899624]"
486,"[907014, 883404, 1106523, 981760, 999971]"
487,"[1082185, 6534178, 1029743, 995242, 883404]"
488,"[1082185, 995242, 951590, 981760, 860776]"
489,"[1082185, 6534178, 981760, 903325, 1058997]"
490,"[5569230, 1075368, 5569471, 5978656, 833715]"
491,"[6534178, 1003188, 862349, 962568, 1056509]"
492,"[1082185, 6534178, 1133018, 862349, 1070820]"
493,"[6534178, 995242, 1029743, 1013321, 908531]"
494,"[1082185, 6534178, 1029743, 995242, 883404]"
495,"[1029743, 8090537, 883404, 923746, 1106523]"
496,"[923746, 1133018, 1106523, 849843, 5585510]"
497,"[1082185, 1029743, 862349, 1058997, 1070820]"
498,"[938700, 1106523, 908531, 927191, 6034857]"
499,"[923746, 908531, 882441, 5569471, 1126899]"
500,"[1082185, 6534178, 1029743, 995242, 1133018]"
501,"[8090537, 849843, 1056509, 5569471, 965766]"
502,"[1029743, 923746, 849843, 5568378, 981760]"
503,"[1082185, 1070820, 6034857, 5978656, 961554]"
504,"[923746, 1133018, 1106523, 1038217, 908531]"
